Question,Choices,Correct,Explanation
"Which AWS service can analyze customer interactions to identify frequently asked questions and develop insights?","Amazon Lex|Amazon Comprehend|Amazon Transcribe|Amazon Translate","B","Amazon Comprehend is a natural language processing (NLP) service that uses machine learning to find insights and relationships in text."
"A company needs to transform petabytes of unstructured data into a structured format for machine learning tasks. Which AWS service should they use?","Amazon Lex|Amazon Rekognition|Amazon Kinesis Data Streams|AWS Glue","D","AWS Glue is a fully managed extract, transform, and load (ETL) service that prepares data for analytics."
"Which AWS service offers a choice of high-performing Foundation Models (FMs) and the ability to privately customize them with your data?","Amazon Bedrock|AWS Inferentia|Amazon Q in QuickSight|Amazon Q Developer","A","Amazon Bedrock is a fully managed service that makes FMs from leading AI startups and Amazon accessible via an API, allowing customization with your data."
"Which of the following generative AI techniques are used in Amazon Q Business web application workflow?","Variational autoencoders (VAE)|Large Language Model (LLM) and Retrieval-Augmented Generation (RAG)|Diffusion Model|Generative adversarial network (GAN)","B","Amazon Q utilizes LLMs and RAG to generate human-like text and improve response accuracy by retrieving relevant information."
"What is a key difference between labeled data and unlabeled data in machine learning?","Labeled data is used for unsupervised learning; unlabeled data is for supervised learning.|Labeled data has specific output labels; unlabeled data lacks such annotations.|Labeled data consists of raw information; unlabeled data includes tags that provide meaning.","B","Labeled data includes input-output pairs used for supervised learning, while unlabeled data lacks output labels and is used for unsupervised learning."
"Which AWS service provides a centralized repository for documenting machine learning models, including their metadata and performance metrics?","Amazon SageMaker Model Cards|Amazon SageMaker Debugger|Amazon SageMaker Model Monitor|Amazon SageMaker JumpStart","A","Amazon SageMaker Model Cards offer a standardized way to document and share information about machine learning models, enhancing governance and transparency."
"An AI practitioner wants to use a foundation model to design a search application that handles queries with text and images. Which type of model should they use?","Multi-modal embedding model|Text embedding model|Multi-modal generation model|Image generation model","A","A multi-modal embedding model can process and understand multiple data types, such as text and images, making it suitable for this application."
"Which AWS service can be used to build conversational interfaces into applications using voice and text?","Amazon Polly|Amazon Lex|Amazon Rekognition|Amazon Transcribe","B","Amazon Lex is a service for building conversational interfaces into applications using voice and text."
"What is the primary purpose of Amazon Rekognition?","Translating text between languages|Analyzing images and videos for object detection and facial analysis|Converting speech to text|Extracting text from documents","B","Amazon Rekognition analyzes images and videos to identify objects, people, text, scenes, and activities."
"Which AWS service enables developers to add image and video analysis to their applications without requiring deep learning expertise?","Amazon Rekognition|Amazon SageMaker|AWS DeepLens|Amazon Polly","A","Amazon Rekognition provides pre-trained models for image and video analysis, allowing developers to easily integrate these capabilities into their applications."
"How does Amazon Translate assist businesses?","By converting text to speech|By translating text between languages|By analyzing sentiment in text|By recognizing entities in text","B","Amazon Translate is a neural machine translation service that delivers fast, high-quality, and affordable language translation."
"Which AWS service is designed for building, training, and deploying machine learning models at scale?","Amazon SageMaker|AWS Lambda|Amazon Comprehend|Amazon Polly","A","Amazon SageMaker is a fully managed service that provides every developer and data scientist with the ability to build, train, and deploy machine learning models quickly."
"What is the function of Amazon Polly?","Translating text between languages|Converting text into lifelike speech|Analyzing images and videos|Building conversational interfaces","B","Amazon Polly turns text into lifelike speech, allowing developers to create applications that talk."
"Which AWS service helps in extracting text and data from scanned documents?","Amazon Textract|Amazon Comprehend|Amazon Rekognition|Amazon Translate","A","Amazon Textract automatically extracts text and data from scanned documents, going beyond simple optical character recognition (OCR)."
"An organization wants to analyze customer reviews to determine the overall sentiment. Which AWS service should they use?","Amazon Translate|Amazon Comprehend|Amazon Polly|Amazon Lex","B","Amazon Comprehend can analyze text to determine sentiment, key phrases, entities, and language."
"Which AWS service allows for the orchestration of multiple machine learning tasks into cohesive workflows?","AWS Step Functions|Amazon SageMaker Pipelines|AWS Glue|Amazon Kinesis","B","Amazon SageMaker Pipelines is a service for building, managing, and scaling end-to-end machine learning workflows."
"What is the role of AWS Inferentia?","A service for building conversational interfaces|A machine learning inference chip designed to accelerate deep learning workloads|A tool for data labeling|A service for image and video analysis","B","AWS Inferentia is a custom chip designed by AWS to accelerate deep learning inference workloads and reduce costs."
"Which AWS service can transcribe speech into text?","Amazon Polly|Amazon Transcribe|Amazon Lex|Amazon Comprehend","B","Amazon Transcribe is an automatic speech recognition service that makes it easy for developers to add speech-to-text capability to their applications."
"How does Amazon Kendra enhance enterprise search capabilities?","By providing real-time translation of documents|By converting text to speech|By offering intelligent search powered by machine learning|By analyzing sentiment in text","C","Amazon Kendra is an intelligent search service powered by machine learning, enabling organizations to index and search unstructured data accurately."
"Which AWS service can be used to create personalized recommendations for users?","Amazon Personalize|Amazon Forecast|Amazon Comprehend|Amazon Rekognition","A","Amazon Personalize enables developers to build applications with the same machine learning technology used by Amazon.com for real-time personalized recommendations."
